ID,review,label
79,super match,Positive
80,mere hotay huay tumhen aur koi chahiye bhi nahi...:D,Negative
81,Khabees is a gold digger ..i have always thought about it and today she has proved it😉,Negative
82, 14 November ko police nay inhein giraftar karliya,Negative
83,Kiya seriously Pakistani awam ya Pakistan kashmirino ko own b karti hai ya phir bus Punjab he Pakistan??,Negative
84,Phele inter schools aur inter colligate muqablon mein schools aur colleges ke talba aur talibat ki aik bari tadad sharik hoti thi ab y tadad ungliyon par gini ja sakti hai,Negative
85,Masha AllahAllah aap KO lambi Umar de,Positive
86,Aain aur mazhab mein khawateen ko jo hoqoq deye gaye hain un se Majida Rizvi pori tarah mumain hain.,Positive
87,Back ground song awla ha,Positive
88,Jab ke inho ne test mein 2 aur one day mein bhi 2 hat ricks ki hain,Positive
89,Lahore Qalandars Very good 2019,Positive
90,Karachi Me Aashura K Mauqay Per Mukammal Aman Raha ,Positive
91,Jab un Ko he esmbly may Lana hai tu hindustan say Pakistan bananay Ka kia mathlab Howard?,Negative
92,Mashalla allha pak slamat rakhy ameen ameen,Positive
93,Dushmn 😂🙌,Negative
94,Zalzly Se Mutsera District Nazim K Apny U C me Koi Pursan e Hal ni ,Negative
95,Imran khan nay  kaha kay in ki zindagi aur Karachi mein tehrek-e-Insaf kay karkun ki zindagi khatra lahaq hai khun kay Britannia hukumat  nay Muttahida Qaumi Movement  kay London mein muqeem quaid Altaf Hussain kay  khalaf  qadam nahi uthaya jis say ye log shair  ho kar tashadut  ki karwai kar saktey hain,Negative
96,Sher Aa Nhe Raha Agya Hy Lahore Ne ilzam aur Gaali ki Siasat Mustrad kr Di Maryam Nawaz ,Negative
97,lannat ko ese insan pe,Negative
98,Baita yai lov tu ny wrong side lga lia😂😂😂,Negative
99,"Sonal Chauhanne Telugu film industry se umeedein wabasta kerty huey LEGEND naami film sign ker li hai jis ki aksbandi in dino tezi ke saath ho rahi hai jab ke ANTHONY DE SOZA ne bharti film BLUE ke sequel ASMAN mein AKSHAY KUMAR, KATREENA KAIF, ZAHID KHAN,SUNJAY DUTT,LARA DUTTA aur JOHN ABRAHAM ke saath ehm role mein cast kiya hai",Positive
100,jaan Nikal di yaar ,Negative
101,"buhat acha hai yeh item , me use karunga",Positive
102,tmhare lye best haekrle shadi ,Positive
103,Walid se in ki qurbat aur wabistagi bohat gehri thi,Positive
104,Jab film walon ne Iqbal Bano ki classical awaaz suni to in se rujoo kiya aur film ke liye gaane ki baqaida dawat di,Positive
105,Aitmaad Na Karo ,Negative
106,Majboriyun ka sahara le kr chor jany waly aksar bewafa hoty hain.,Negative
107,October 1959 mein unhain U.N.O mein Pakistani wafad ka quaid bana ker bhaja gai to Zulfiqar Ali Bhutto nay Russia aur America ki taraf say takhfife aslaha ki tajaweez kay silsilay mein Pakistani moqif bohot khubsurti say pesh kiya,Positive
108,Boht he aala,Positive
109,Saudi Company Ne 250 Arab Me National Power Construction Corporation Khareed Li Steel Mills Aur PIA Ki Nijkari Bhi Hogi Hukomat ,Negative
110,Bahawalpur mein bhi Ahmed Faraz Fun aur Shakhsiyat ke unwaan se PhD ka maqala tehreer kiya gaya,Positive
111,Sada muskaraty rhn g,Positive
112,abay saloo ya hota ha scha piyer,Positive
113,Apne career ke mustaqbil ka faisla wo taleem mukammal hone ke bad he karega,Positive
114,Bilkul....zindagee k achay sathee mai yahi hna chhahiyay...ikhlas..imaan....,Positive
115,Love LQ uncondtionly ...,Positive
116," Siyasi, samaji aur iblaaghi halqon ki janib se miss Haseena Wajid ko yeh mashwara diya ja raha hai ke wo apna zehni muaaiyna karaey, kyun ke jis qisam ki siyasi inteqami policy inho ne apna rakhi hai wo kisi bhi soorat mien mulk o qaum ke mafaad mien nahi hai",Negative
117,Sohrab Goth Mein Ka Bais 50 Saala Shaks Intaqal Kar Giya ,Negative
118,Good...,Positive
119,Maa shaa ALLAH tasbih khane ky wazif lajawb ha.,Positive
120,koi issue nai bhale mera cup use karen 🤣 beta meri bottle b har koi use karta hai,Positive
121,"Walikum As salam
Besahak
Ap ko bhi Jumma mubarak",Positive
122,this is your eid ,Positive
123,Nai nai acha lag rha h pic lo in see phr Ami Je se pocho,Positive
124,Khusre ko band karo fori. Ye bohat chawl ha,Negative
125,Faiz Ahmed Faiz ka inteqal 20 November 1984 ko Lahore mein hua,Negative
126,Tujy tu ya pata nae ho gy ky 2sajdo ky darmya ky par ty hain? Ya ajj wo be dkh ly?          !      !        ,Negative
127,Acha tell me yeh itnay baray baray jalsay joKarta hai woh pesa kahan sey ata hi ? Zakkat khata hai yeh gareebon ki hospital ko jo milti hai,Negative
128,Eman or amaal wali zindge k liye duaon ki darkhast hy,Positive
129,"Aik interview mein inho ne kaha tha, mujhe shohrat nahi gumnami chahiye",Positive
130,kia bat hai g apki,Positive
131,Hum kaam se gaye thy phir kaam se gaye ,Positive
132,Physical appearance pe comment krne se guraiz kren.,Negative
133,Agar ap muslem hyn to ap ko khud pata ho ga k kahan bandna h ghar Muslim mazaq hi urain gy in ki samj sy uopar h,Negative
134,Jis ke bad film Bus Stop mein in ki dramatic acting ko naqadon ne bohat saraha aur Marilyn golden globe award ke liye nominate hui,Positive
135,in belts ki quality behtar thi mjhe inki quality se koi shikayat nahi hai.. achi munasib quality hain in belts ki aur size b sahi aya hai.. main is se tw mutmaeen hoon aur koi complain nahi mjhe is se. roz use b kar rha hoon,Positive
136,you are not kamyaaab abhi 😂,Negative
137,Ya mere rab tu bra kreem hy is mulk k halat PR reham frma. Is watn.e.Aziz ki hifazat frma.amin,Positive
138, Sirf 28 saal ki umer mein 1921 mein Bengal qanoonsaaz council ke member bane aur apne auhdon par faiyz reh kar aap ne musalmano ke mafadaat aur huqooq ki khatir kisi na kisi satah par zaroor kaam kiya,Positive
139,sharam to a rahi ho ge?😂😂😂,Negative
140, Khan family ne Squash per taweel hukumat ki hai aur yeh kahna baja hoga ke unhon ne Squash ki tareekh ko apne haton se likah hai,Positive
141,Allah kray doctor afia sadiqi pakistan aye refrendom ho aor doctor afia sadiqiWazeer a Azam bnay Ameen,Positive
142,Haniya Khan.,Positive
143,Aj kal hmri govt esi ha k inki wja sy educated log byrozgar bethy hain,Negative
144,pyaar hai voh,Positive
145,Tym nikal k milo..logo ko judge krna h😅,Negative
146,Khi Me Aaj Rat 12 Baje Se Motorcycle Ki Double Sawari Per 3 Din K Lye Pabandi Hogi ,Negative
147,Sindh Main Teer Nay Mokhalifin Ko Chalni Kardia,Negative
148,Allah lambi zindagi or sehat ata farmaye.,Positive
149,Bari e koi chwl orat ho tum 😂😂😂😂,Negative
150,Guzishta saal December tak naye stadiums ki tameer aur purane medanon ki tazeen o araish  ke leye Brazil Football Assosiation aur Brazilian hukumat ne 3.7 Billion Dollor ke akhrajat ka takhmina lagaya tha,Positive
151,Lala is Great Man and Lion....,Positive
152,Allah hamain Hajj ki sadat ata kary Ameen,Positive
153,hahaha bilkul perfect naqsha khencha,Positive
154,Ye ilzam hau muj masoom pe :(,Negative
155,Bilkul InshaAllah beshk Allah har chez pe qadeer hain... ap yakeen se tobha krain... wohi to hain muaf krne waly...,Positive
156,Saanp ka kaam Zahar ugalna hi hai. ,Negative
157,Masha Allah huma huma ap pyare,Positive
158,Dr Asim Ki University Or Hospital Ka Record Talab Ker Lia ,Negative
159,allah pak janatul firdus main alla maqam day ameen,Positive
160,Mashi mushkilat ne un ke khandan ko ghere mein le liya tha,Negative
161,"2001 mein Parvez Musharraf ki aamriyat ke afriyat ne farzand jamhoriyat ke samne mou phara, daraya, dhamkaya, mukhtalif bahanon se rah-e-rast se hatane ki koshish ki",Negative
162,Hum Khud Ko Bhool Bethay Tujhe Yaad Krte Krte ,Negative
163,Main nevan mera Murshid ucha ,Positive
164,Allah Ya Allah madad ,Positive
165,G new type ka drama hai,Positive
166,ye muqtada to nehayat he chawal kisam ka insan lgta hje,Negative
167,Aap ki yehi salahiyat 1937 mein aap ko Islamia College ke magazine �EEE€�EEEcrescent�EEE€�EEE ka naib mudeer banwane meinmadadgar sabit hoi,Positive
168,Hazarat sab salam dua m yad rakhyiga,Positive
169,Allah pak tasbeeh khane ko qyamat tak abad rakhe.AMEEN,Positive
170,Aap ko phir buhat ghussa ayya k ye jo teacher party hai wo bachoon ko ghalat ratte marne ki training de rahe hain.,Negative
171,Bohat khub,Positive
172,Lol thank you so much ,Positive
173,Inshallah hum dono kaamyaab rhen apne naik iraadon mein😂😂😍..tune tou shiad dhond liya😂😂🤔ya abhi bhi talaash jaari😂😑,Positive
174,Jitna zoor laga loo result 0 hi ho ga tum loog azmay howay jawarri hoo,Positive
175,fabiha ki overactng check kro jaise sbse pakeza h 😜,Negative
176,Kaash hum b parhay likhay hotayKabhi likhtay gulbadanKabhi likhtay Gulfeezan,Negative
177,Nawab Zehri Balochistan Ke Aainda Wazir e Ahla Honge Tawaqu Hai Nawab Zehri Blochistan Me Amn Ke Qiyam Ko Yaqini Banainge,Positive
178,Pakistan team mein hone wali baghawaton ka zikar karen to baat gol kar jayen ge,Positive
179,1985 mein hukumat e Pakistan ne un ki ala fani khidmaat ke atiraf mein unhen Pride of Performance ke award se nawaza,Positive
180,Wazair E Dakhla 15 Din Kisi Ki Hirast Mein Rahe To Woh Bhe Her Juram Qabol Karen Ge Khursheed Shah,Negative
181,Is leye kuch hazrat ke nazdek un ki tehrirein mazamin ke bajaye taqrir kehlane ki mustahiq hain,Positive
182,Ro dil bar k roo.salman pe.qandous mein to terrorist maray gaye hein.,Negative
183,Indian bollywood ko dekhny per pabandi llagaye jaye. Masla hollywood aur bollywood se hi shuru howa hy .,Negative
184,Dil k under kia hai woh Allah he junta hai. ... Alzam Trashi say Baz Rahoo Yeh b eik guna hai.....,Negative
185,ALLAH in ko tabha o barbad kry jo me molawes he,Negative
186,Raat ko Panjwani sahab k hath aik marker bhi lag gaya jis se wo sotay huway logon ki shakloon (?????) per khakay (????) bana kar purlutf (?????) hotay rahay.,Positive
187,Saas ny sara ilzam biya pe lga dea h k uski wja se usky bety k sth aesa hua,Negative
188,Ghazi mumtaz ko shaheed krny waly jannati hain Kia?,Negative
189,"Achay size ka fridge hai, kamre mein bara acha lagta hai, aur iskay dual temperature mechanism bhee pasand aaya. Freezer mein jamaa de cheezon ko, aur fridge mien achee cooling maintain kare, aur yeh to energy efficient bhee hai. :)",Positive
190,Allah salamat rrakhy,Positive
191,Pakistan ki team ki coaching to wo saal hasaal karte rahe lekin 2 seasons mein Intikhab Alam ne Bharati Punjab team ki coaching ki,Positive
192, Maha pura Gaana hai tum ko pasand aiga,Positive
193, Jab un ka jism mila to tab bhi un ki gun un ke sene se lagi hoi thi,Positive
194,Bohat mazy ka yr mode fresh ho jata h,Positive
195,qsmyyy ghunny maisny 😂😂😂,Negative
196,ye wo mard e mujahid hy es time govt ki traf sy pabandi ti net cafe open rakny ki or ye time namaz taraveh ka ta bsss rs bhai jaan ko gussa aya or akar sab ki wart laga d,Negative
197,Itni khubiya,Positive
198,Ye ni dikhana chaye thaDanial zafar bc,Negative
199,laila tul jaiza mubarik,Positive
200, Unho ne Haji Sir Abdullah Haroon ke sath mil kar Sindh ki Bombay se alehdgi ke liye kaam kiya,Positive
201,5 saal baad.. Jab apki job achi hogi ... 2 Larkiyon k rishtay ayein gy ... czns k.. par Ap bahir kru gy,Positive
202,Allah rehm kre behn per,Positive
203,MashaAllah sada geo,Positive
204, Iss tehreek ki kamyabi par inhein aur sathiyon ko kai bar tashadud ka nishana banaya gaya aur paband slasal kiya gaya,Negative
205,Agr 20 din bhi compaign kr lety to ap ne jeet jana tha Bro..,Positive
206,Bas mujhe yehi darr tha ke kya main is role ko kar paonga,Negative
207,"Buhat acha laga, mein again use karunga.",Positive
208,Hamain bas karna chahiye.Logo ke DM aarahe hai ke binzi ko rolna band karo,Negative
209,Allah in ko lambi Zindagi dy,Positive
210,Mehdi Hassan ka geet “ranjish hi sahi dil hi dukhane ke leye aa” aur “ ik sitam aur meri jan abhi jan baqi hai” aaj bhi suniye to dil udas ho jata hai,Negative
211,Margyi ok.,Negative
212,tum na paida hti to kya hta mra,Positive
213,Purani Subzi Mandi Main PTI JI Aur MQM Kay Mabain Tasadam Rangers Jaye Waqua Per Pohanch Gayi,Negative
214,Aap ki zuban aap ki shkhsiyat aur khandan ka pta deti hai,Negative
215,Edhi center mein 1952 se qaim shudah jhula project ka charge bhi unhon ne bakhubi sanbhala.,Positive
216,Or pathar khaya tou agay wada bhi kiya ke pani dega sabko .,Negative
217,yani hum dono kamyab hain 🤣🤣,Positive
218,Bohat ehtajaj krengy ,Negative
219,g miss wohi hai same to same ,Negative
220,Bakwas jo dakhnay mai hai wesi bilkul nahi.. main ne khud lee hai lahore k address pay deliver hoi hai.. aor farig presented..,Negative
221,2 Nafs K Khilaf Jihad Karna JIHAD E AKBAR Hai ,Positive
222,Jessey aap tu islam k bohot barey aalam hain log aap se fatwa leney aatey hain,Negative
223,Kisi ne shayad sach he kaha hai… “ Iqtedar ki kursi par gond laga hota hai… ”,Negative
224,"Kia me itni buri hun k tum mug se ""asrati"" piar karo.",Negative
225,dekhlo ye mzaq Nahi... ,Negative
226,K Apni Maa k Qadmo k Nishan Dhondh Raha Ho ,Positive
227,:P nai to kya aAp ne unhay dartu samjha ha jo safe guard se hath dho k pEechay par gay ho us k :D,Negative
228,k is kuuti k bache ki qeemat bs ak seat thi iska tu naak b kutte jesa shakal b kutte jesi aur kertot b kutte jese. ,Negative
229,Aj toh hud he ho gyi na mtlb,Negative
230,best candidate koa nhn mil rahaa aap kea workers koa nhn aap kea p.t.i keaa tickes bhi chooron koa lootoon koa mil rhea hean,Negative
231,Husband k sath rhenay ki dua kar dain please,Positive
232,"September 2010 mein Salman Khan ko us waqat shaded tanqed ka samna karna para, jab unhon ne mumabi hamla case ke bare mein aik interview mein ye kaha ke is mamle par itna shor is leye machaya ja raha hai ke is bar hamla ashrafiya par howa aur five star hotels ko nishana banaya gaya",Negative
233,AGR ap bhi syasat karny lagy ho to log mayous hojaengy,Negative
234,Mari baitiyon k Naik naseeb k Lia dua kerien,Positive
235,Usey bhi report kaeu pemra par,Negative
236,Reporter bari khubsurat thi agar munh na kholti.,Negative
237,"Master Inayat Hussain ne ghair filmi ghazalen aur geet bhi compose kiye jin mein Inayat Hussain Bhatti, Munawar Sultana, Malka e Pukhraj,Dilshad Begum aur Malka e mosiqi Roshan Aara Begum ne awaza ka jadu jagaya",Positive
238,O biju ke oulad.,Negative
239,naughty boy! Bhalla corruption karre chup kar k. Ye gande kam kyun karta hei!,Negative
240,phupo ko thanks bolin meri trf sy bht bht 😂😂😂😂😂😂😂,Positive
241,Jo Aurat Gair Mard Par Apni Zinat Zaahir Karne ke Liye Daman Ghasite,Negative
242, 3 saal ki umer mein inho ne French language aur piano bajane ki classes mein admission le liya tha,Positive
243,ye dekh kr mjhe tu kyun yaad ayi 😂😂,Negative
244,Inshala sir hm aen gy,Positive
245,Hazrat ji Dua kijiye...inamulhasan,Positive
246, Hindustan ke mukhtalif alaqon mein na sirf Pakistan ke naam se tanzemein qaim huein balke “Pakistan” ke naam se akhbarat o jaraed bhi jari kiya gaya,Positive
247,Jis mein bushra ne bijli ka role adaa kar ke meyla loot liya,Positive
248,ap deen ko pakistan ki ismbli ma nai bacha saky or hindo tu hin kafir Allah imaan da in ko jin ka pora molk muslim hin uno na kya kr leya ,Negative
249,Y Kinza naam ki kuriyan esii hi hotii hen bhooti choose hoe amb wargii ho phir b attitude satwen asmaan pe,Negative
250,Stop sahir bakwas show,Negative
251, antiii bhaii full gussy m h,Negative
252,.Hum miss rubina ko chkma dia krty thy :-D,Negative
253,ajeb sanjidgi ory.......... bri be his se lrki hn,Negative
254,3 he bewaqof,Negative
255,Douaun ki iltaja hy,Positive
256,Meri trf se tere liye ,Positive
257, Hukumat ne sugar mil malikan ko qematein kam karne par majbor nahi kiya balke neb ne tehqiqat karana chahi to Sadar Perviz Musharaf ke humum par ise bhi rok deya gaya kyun ke is mein ba asar hukumati ehalkar mulavis the aur Wazirati kursiyon par barjaman the,Negative
258,Bas galat vote na daal dena mulk ka sawal ha,Positive
259,"Actress Laila ne kuch arsey qabal Lahore mien aik comedy serial ke Pilot mien hissa liya, magar wo dobara shuru na ho saka",Negative
260,Thank you for your support,Positive
261,har fankar ko create ya recreate kana parta hai,Positive
262,Farhan ap or bhi aisa hi dramas ma kam kerya,Positive
263,Awwlaaa asees ma ny pehly audio suni thi alhamra ma ub video b bht achay,Positive
264,Hahah pitwaye ga kia,Negative
265,Dikhaty kuch hn or send kuch or krty hn,Negative
266,Baari ap to famous ho gai hain ♥,Positive
267,Main samajhta hunk e khilariyon ko PIA ya mukhtalif banks aur degar idaron mein mulazimat mile to phir squash ka kheel aur tezi se taraqi kare ga,Positive
268,"January mein hazara market ke bomb blast 4 Edhi razakaar shaheed, 5 zakhmi hue, jab ke 5 Edhi ambulance mukammal taur par tabah ho gai.",Negative
269,Jani par jo unho nay samjhaya wo to men samjhny bhe nhn aya :p,Negative
270,Hahah Waqi patwario mein koi aql nhi,Negative
271,Jacket ki quality achi nahi hai,Negative
272, infinite tmhai bara araha tha na,Negative
273,Seriously..Dr.Mussadiq Iqbal to hain hi great.baki eye walo k lye to ye video bani hai.,Positive
274,tujhy to koi btany wala ii nae,Negative
275,.....Sony say phly shukr adda kya kro ....hunhhh kbi ghror nae kya hum NY,Negative
276,In sub qawaneen ki khilaf warziyan tu imran Roxana karta rehta hay.,Negative
277,Na koi Tmhy Mot dy skta hy amp na koi Tmhra RIZQ Km kr skta hy ,Positive
278,RAMZAN MA RIZAK WA EZAFA KA WAZIFA BTA DAIN JO JALADI KAM KRNA WALA HO,Positive
279,Good drama Subse acha kaam Kinza ne kya h uski Acting Yadgar rahi giLove Kinza,Positive
280,Ap aap sahi kaam ni kr rhi ha,Negative
281,High Court Ne Altaf Hussain K Khelaf Ghaddari K Muqadmay K Indraj K Liye Full Bench Tashkil Day Diya ,Positive
282,Un k vote elag hony chahiay,Negative
283,"Yaar, yaha raat ho rhi hai aur kal subha nao bajhay se pehlay kaalij ja na hai, to mein yahan puri raat nahi baat sakta 😆, baaral, bohoot hi accha kyaal hai he ye, khaas tor par hum ko faida hai jo yorup mein rehtay hai aur Urdu bolnay ka mauka mila ga to hum sekh saktay hai aapas se. Inshallah, aur aise cheesay kar na chaiye hai to Pakistan ki tehzeeb taraqi karay.",Positive
284,ye bandi bara kamal ke acting karte hain jis kerdar me hoti hain jaan dal dete hain,Positive
285,"""Veet Miss Pakistan"" ko b band kerwao",Negative
286,Marusi siast... ghulam ibne ghulam ki new type,Negative
287,Apka zehr mjh pe b nae axr kry ga i hv antizehr of ur zehr 😒😊,Positive
288, Malala Yousafzai ne Pakistan ke Foji jawanon se appeal ki ke agar humare Foji bhai humein tahafoz farahum karein to hum larkiyan apni darsgahon ko ja sakti hain,Positive
289,I think shah mehmood qureshi ki wjja s...en ko ticket ni mila,Negative
290,Huma aap khubsuret hain lke u,Positive
291,Saeed Anwar match winning innings khelne ki pori salahiyat rakhte the,Positive
292,Dariya e Kabul Me Selaab Ka Khatra ,Negative
293,Pakistan k by ghairat lentil hukmran,Negative
294,Pr Is Ki Ghair Mojudgi Tmam Chezon Ko Be Zaika Bna Deti Hy,Negative
295,Ayaz Sadiq K Bad Siddiq B Out N League Ka Teenon Halqon ,Positive
296,Kia kia ni krti he larkeya ...ufffffffff toba....,Negative
297,Aby jahail logo ye Islamabad ha,Negative
298, Awam nay inpar do martaba aitamad kartay hoye inhain muntakhab kia,Positive
299,Gilgit Me Tamam Taleemi Idarey Band Rahengy ,Negative
300,He has helped my knowledge of Islam a great deal. Allah bless him always. Would love more free lectures uploaded on YouTube ,Positive
301,Allah aap kee hifazat karey aameen,Positive
302,insay bara koi chor hai he nahe or ye PTI walay behas kartye he rahye gye,Negative
303,Main ne Imran ko bataya tha ke jab mere walid jogging ke liye jaya karte the to wo har din meri waldah ke liye phool laate the. ,Positive
304, Blkul ghlay koi jahil log he jnhe ye nai pta k ks janwr ko kis trah zibah krty hen or ye ount to mje murda lg rha tha zra sa b nhi hila....,Negative
305,"Koi bhi film sign karne se pehle tamam pehloun ka jaiyza longa, sirf aik film ke liye barson ka image to kharab nahi kar sakta",Positive
306,Begarat ka bacha,Negative
307,Yahan tak ke Helen Keller ke tajasus ki tasqeen ke liye Miss Salon ne Helen ki hatheli par ande se choza nikalne ka aamal tak mukamal karaya.,Positive
308, Major Muhammad  Akram Shaheed ko 19 May 1971 ko “Hili” ke muqam par fire kar deya gaya,Negative
309,Wo logon ke sath khilwar nahi karte.,Positive
310,Lion of pakistan love u lala,Positive
311,ShUkar hai phli baar suchi bt ki tuny,Positive
312,Match ka maza aa gya tha,Positive
313,Awami Press Club Malir Ka 3 Din Soug Ka Elaan,Negative
314,Mera khayal tha k yeh bohat khaufzada karne wala tajurba ho ga aur main ne yeh bat Imran se bhi kit hi.,Negative
